Station,Event,Sensor File,Peak Acceleration (cm/s²),Peak Velocity (cm/s),Arias Intensity (m/s)
24602,Chino Hills Earthquake of 29 Jul 2008,GM_Y_48_11_14383980.V2,108.32,9.122,0.12461469977122039
24260,Rowland Heights Earthquake of 29 Mar 2014,GM_X_32_2_15483001.V2,11.879,0.563,0.0009480820130098843
24260,Rowland Heights Earthquake of 29 Mar 2014,GM_Y_32_12_15483001.V2,10.099,0.72,0.0038221994044294544
24260,Rowland Heights Earthquake of 29 Mar 2014,GM_Y_32_8_15483001.V2,5.95,0.308,0.0010096510901945637
24260,Rowland Heights Earthquake of 29 Mar 2014,GM_X_32_7_15483001.V2,12.124,0.711,0.0023610720888624856
24260,Rowland Heights Earthquake of 29 Mar 2014,GM_X_32_4_15483001.V2,15.17,0.641,0.0038577925471775694
24260,Rowland Heights Earthquake of 29 Mar 2014,GM_Y_32_11_15483001.V2,12.934,0.593,0.002677857588297159
24260,Rowland Heights Earthquake of 29 Mar 2014,GM_Y_32_9_15483001.V2,12.002,0.521,0.0024589154742286666
24260,Rowland Heights Earthquake of 29 Mar 2014,GM_Y_32_5_15483001.V2,12.085,0.461,0.001869009907112089
24260,Rowland Heights Earthquake of 29 Mar 2014,GM_Y_32_6_15483001.V2,13.978,0.6,0.002515216022970349
24260,Rowland Heights Earthquake of 29 Mar 2014,GM_Z_32_1_15483001.V2,3.561,0.114,0.000217138363854122
24260,Rowland Heights Earthquake of 29 Mar 2014,GM_Y_32_3_15483001.V2,9.644,0.323,0.0006450593751755315
24260,Rowland Heights Earthquake of 29 Mar 2014,GM_X_32_10_15483001.V2,14.247,1.095,0.004331312907603291
24260,Encino Earthquake of 17 Mar 2014,GM_X_32_4_15476961.V2,41.872,1.421,0.01227980136922848
24260,Encino Earthquake of 17 Mar 2014,GM_Y_32_11_15476961.V2,12.736,0.631,0.004297292663895798
24260,Encino Earthquake of 17 Mar 2014,GM_Y_32_12_15476961.V2,13.153,0.808,0.005100799833165817
24260,Encino Earthquake of 17 Mar 2014,GM_X_32_2_15476961.V2,31.387,1.219,0.003913048244107727
24260,Encino Earthquake of 17 Mar 2014,GM_X_32_7_15476961.V2,24.528,0.926,0.0057392920277450875
24260,Encino Earthquake of 17 Mar 2014,GM_Y_32_8_15476961.V2,6.071,0.435,0.0020478079720172944
24260,Encino Earthquake of 17 Mar 2014,GM_Y_32_6_15476961.V2,15.312,0.575,0.0027690252889783383
24260,Encino Earthquake of 17 Mar 2014,GM_X_32_10_15476961.V2,38.034,1.465,0.011506057034523964
24260,Encino Earthquake of 17 Mar 2014,GM_Y_32_3_15476961.V2,13.132,0.389,0.0016920998007145843
24260,Encino Earthquake of 17 Mar 2014,GM_Z_32_1_15476961.V2,7.554,0.221,0.0005868446268660698
24260,Encino Earthquake of 17 Mar 2014,GM_Y_32_9_15476961.V2,12.292,0.652,0.0034885493842806226
24260,Encino Earthquake of 17 Mar 2014,GM_Y_32_5_15476961.V2,14.767,0.563,0.0024836678248458294
24260,Whittier Narrows Area  Earthquake of 16 Mar 2010,GM_Z_32_1_14601172.V2,8.767,0.24,0.0014900156123796074
